Store_ID,Facility_ID,Supply,Distance_Miles,Weighted_Distance,Transport_Cost
ST004,FC04,362,180.07,65185.34,11.2431674432
ST005,FC04,754,187.79,141593.66,24.42207447680001
ST012,FC04,456,188.3,85864.8,14.809960704000003
ST018,FC04,770,255.13,196450.1,33.88371324800001
ST019,FC04,923,254.93,235300.39,40.58461126720001
ST020,FC04,694,254.42,176567.47999999998,30.454358950400003
ST021,FC04,819,259.39,212440.41,36.6417219168
ST022,FC04,743,254.15,188833.45,32.569993456000006
ST023,FC04,841,257.2,216305.2,37.308320896000005
ST024,FC04,331,251.21,83150.51000000001,14.341799964800003
ST025,FC04,330,251.57,83018.09999999999,14.318961888
ST026,FC04,494,270.03,133394.81999999998,23.0079385536
ST027,FC04,401,240.08,96272.08,16.605008358400003
ST028,FC04,511,236.92,121066.12,20.881484377600003
ST029,FC04,420,276.0,115920.0,19.9938816
ST030,FC04,359,275.95,99066.05,17.086912304000002
ST031,FC04,427,280.57,119803.39,20.6636887072
ST032,FC04,427,270.94,115691.38,19.954449222400005
ST033,FC04,494,259.76,128321.44,22.132881971200003
ST034,FC04,342,246.4,84268.8,14.534682624000004
ST035,FC04,392,258.27,101241.84,17.462192563200002
ST036,FC04,642,306.76,196939.92,33.9681974016
ST037,FC04,759,305.77,232079.43,40.02906008640001
ST038,FC04,528,316.7,167217.6,28.841691648000005
ST039,FC04,401,296.97,119084.97000000002,20.539775625600008
ST040,FC04,885,299.19,264783.15,45.66979771200001
ST041,FC04,380,294.63,111959.4,19.310757312000003
ST042,FC04,740,396.62,293498.8,50.62267302400001
ST043,FC04,685,386.82,264971.7,45.70231881600001
ST044,FC04,494,368.85,182211.9,31.42790851200001
ST045,FC04,356,408.71,145500.75999999998,25.0959710848
ST046,FC04,463,371.15,171842.44999999998,29.639385776
ST049,FC04,433,27.82,12046.06,2.0777044288
ST050,FC04,420,131.48,55221.6,9.524621568
ST051,FC04,470,179.21,84228.7,14.527766176000002
ST053,FC04,434,350.82,152255.88,26.261094182400004
ST054,FC04,369,292.75,108024.75,18.632108880000004
ST001,FC05,907,250.14,226876.98,39.131741510400005
ST002,FC05,410,249.27,102200.7,17.627576736
ST003,FC05,510,243.99,124434.9,21.462531552000005
ST006,FC05,500,249.32,124660.0,21.501356800000003
ST007,FC05,347,249.94,86729.18,14.9590489664
ST008,FC05,462,230.99,106717.38,18.406613702400005
ST009,FC05,428,221.76,94913.28,16.3706425344
ST010,FC05,486,215.16,104567.76,18.035847244800003
ST011,FC05,455,237.59,108103.45,18.645683056000003
ST013,FC05,838,239.87,201011.06,34.67038762880001
ST014,FC05,338,240.58,81316.04000000001,14.025390579200003
ST015,FC05,480,247.1,118608.0,20.457507840000005
ST016,FC05,497,246.5,122510.5,21.130611040000005
ST017,FC05,472,211.41,99785.52,17.211006489600003
ST047,FC05,413,140.02,57828.26,9.974218284800004
ST048,FC05,464,122.55,56863.2,9.807764736
ST052,FC05,384,188.99,72572.16,12.517246156800002
