Store_ID,Store_Name,City,Lat,Lon,Store_Type,Annual_Sales,Return_Rate,Annual_Returns,Grade_A_Units,Grade_B_Units,Grade_C_Units,Facility_ID,Supply,Distance_Miles,Weighted_Distance,Transport_Cost
ST001,Apple Stanford Shopping Center,Palo Alto,37.443259,-122.170731,Flagship,11674,0.0777127034668594,907,226,408,272,FC05,907,250.14,226876.98,39.131741510400005
ST002,Apple University Avenue,Palo Alto,37.448135,-122.159279,Standard,5797,0.0707404465173409,410,102,184,123,FC05,410,249.27,102200.7,17.627576736
ST003,Apple Valley Fair,Santa Clara,37.385669,-121.944344,Standard,6935,0.0735846572854427,510,127,229,153,FC05,510,243.99,124434.9,21.462531552000005
ST004,Apple Oakridge,San Jose,37.251789,-121.857689,Standard,5100,0.0711586905952513,362,90,162,108,FC04,362,180.07,65185.34,11.2431674432
ST005,Apple Santana Row,San Jose,37.321598,-121.947586,Flagship,9595,0.0786310342587559,754,188,339,226,FC04,754,187.79,141593.66,24.42207447680001
ST006,Apple Burlingame,Burlingame,37.584139,-122.346085,Standard,6561,0.0762329812682755,500,125,225,150,FC05,500,249.32,124660.0,21.501356800000003
ST007,Apple Hillsdale,San Mateo,37.538845,-122.29969,Standard,4741,0.0733089802485265,347,86,156,104,FC05,347,249.94,86729.18,14.9590489664
ST008,Apple Bay Street,Emeryville,37.836293,-122.293571,Standard,6541,0.0706355835028602,462,115,207,138,FC05,462,230.99,106717.38,18.406613702400005
ST009,Apple Stoneridge Mall,Pleasanton,37.695469,-121.929092,Standard,5863,0.0731098232171566,428,107,192,128,FC05,428,221.76,94913.28,16.3706425344
ST010,Apple Broadway Plaza,Walnut Creek,37.895718,-122.058942,Standard,6639,0.0732518332202674,486,121,218,145,FC05,486,215.16,104567.76,18.035847244800003
ST011,Apple Corte Madera,Corte Madera,37.925789,-122.510345,Standard,5890,0.0772960617833806,455,113,204,136,FC05,455,237.59,108103.45,18.645683056000003
ST012,Apple Los Gatos,Los Gatos,37.226567,-121.982234,Standard,5978,0.0763755747135521,456,114,205,136,FC04,456,188.3,85864.8,14.809960704000003
ST013,Apple Union Square,San Francisco,37.788365,-122.407089,Flagship,10635,0.0788721274257632,838,209,377,251,FC05,838,239.87,201011.06,34.67038762880001
ST014,Apple Chestnut Street,San Francisco,37.801234,-122.434678,Standard,4534,0.0747221492516194,338,84,152,101,FC05,338,240.58,81316.04000000001,14.025390579200003
ST015,Apple Stonestown,San Francisco,37.728456,-122.47589,Standard,6753,0.071195942459383,480,120,216,144,FC05,480,247.1,118608.0,20.457507840000005
ST016,Apple Bridgepointe,San Mateo,37.561789,-122.25989,Standard,6455,0.0771324478722299,497,124,223,149,FC05,497,246.5,122510.5,21.130611040000005
ST017,Apple Sunvalley,Concord,37.93789,-122.036789,Standard,6085,0.0776078504861689,472,118,212,141,FC05,472,211.41,99785.52,17.211006489600003
ST018,Apple The Grove,Los Angeles,34.072015,-118.35926,Flagship,10185,0.0756127719756949,770,192,346,231,FC04,770,255.13,196450.1,33.88371324800001
ST019,Apple Century City,Los Angeles,34.059567,-118.418234,Flagship,11880,0.0777096717995456,923,230,415,276,FC04,923,254.93,235300.39,40.58461126720001
ST020,Apple Beverly Center,Los Angeles,34.075484,-118.377814,Flagship,9269,0.0749379559636439,694,173,312,208,FC04,694,254.42,176567.47999999998,30.454358950400003
ST021,Apple Tower Theatre,Los Angeles,34.050134,-118.255678,Flagship,10891,0.0752273282938199,819,204,368,245,FC04,819,259.39,212440.41,36.6417219168
ST022,Apple Pasadena,Pasadena,34.145678,-118.144567,Flagship,10015,0.0742754101835855,743,185,334,222,FC04,743,254.15,188833.45,32.569993456000006
ST023,Apple Third Street Promenade,Santa Monica,34.015234,-118.495678,Flagship,11985,0.0702541912674409,841,210,378,252,FC04,841,257.2,216305.2,37.308320896000005
ST024,Apple Glendale Galleria,Glendale,34.146254,-118.256775,Standard,4661,0.071078914269933,331,82,148,99,FC04,331,251.21,83150.51000000001,14.341799964800003
ST025,Apple The Americana at Brand,Glendale,34.142567,-118.25489,Standard,4701,0.0703142918568673,330,82,148,99,FC04,330,251.57,83018.09999999999,14.318961888
ST026,Apple Manhattan Village,Manhattan Beach,33.890234,-118.394567,Standard,6481,0.0763641041126378,494,123,222,148,FC04,494,270.03,133394.81999999998,23.0079385536
ST027,Apple Topanga,Canoga Park,34.189234,-118.602345,Standard,5495,0.0731435598107632,401,100,180,120,FC04,401,240.08,96272.08,16.605008358400003
ST028,Apple Northridge,Northridge,34.239567,-118.538901,Standard,6817,0.075085706911647,511,127,229,153,FC04,511,236.92,121066.12,20.881484377600003
ST029,Apple Victoria Gardens,Rancho Cucamonga,34.111789,-117.54321,Standard,5315,0.0790756647392609,420,105,189,126,FC04,420,276.0,115920.0,19.9938816
ST030,Apple Del Amo,Torrance,33.831567,-118.352789,Standard,4955,0.0724929222914887,359,89,161,107,FC04,359,275.95,99066.05,17.086912304000002
ST031,Apple Brea Mall,Brea,33.914963,-117.886949,Standard,5775,0.0741038292303563,427,106,192,128,FC04,427,280.57,119803.39,20.6636887072
ST032,Apple South Bay Galleria,Redondo Beach,33.888456,-118.35789,Standard,5516,0.0775555113854304,427,106,192,128,FC04,427,270.94,115691.38,19.954449222400005
ST033,Apple Westfield Culver City,Culver City,34.009234,-118.394567,Standard,6843,0.0722879816549162,494,123,222,148,FC04,494,259.76,128321.44,22.132881971200003
