Store_ID,Facility_ID,Supply,Distance_Miles,Weighted_Distance
ST001,FC01,907,16.06,14566.419999999998
ST002,FC01,410,15.14,6207.400000000001
ST003,FC01,510,14.96,7629.6
ST004,FC01,362,28.24,10222.88
ST005,FC01,754,20.59,15524.86
ST006,FC01,500,25.65,12825.0
ST007,FC01,347,22.17,7692.990000000001
ST008,FC01,462,33.74,15587.880000000001
ST009,FC01,428,13.86,5932.08
ST010,FC01,486,31.59,15352.74
ST011,FC01,455,50.22,22850.1
ST012,FC01,456,28.92,13187.52
ST013,FC01,838,36.74,30788.120000000003
ST014,FC01,338,39.0,13182.0
ST015,FC01,480,38.24,18355.2
ST016,FC01,497,19.35,9616.95
ST017,FC01,472,35.14,16586.08
ST047,FC01,413,102.56,42357.28
ST048,FC01,464,120.48,55902.72
ST049,FC01,433,170.8,73956.40000000001
ST051,FC01,470,86.77,40781.9
ST052,FC01,384,71.14,27317.760000000002
ST018,FC02,770,52.71,40586.7
ST019,FC02,923,57.1,52703.3
ST020,FC02,694,54.1,37545.4
ST021,FC02,819,45.02,36871.380000000005
ST022,FC02,743,37.45,27825.350000000002
ST023,FC02,841,63.03,53008.23
ST024,FC02,331,45.67,15116.77
ST025,FC02,330,45.48,15008.4
ST026,FC02,494,57.53,28419.82
ST027,FC02,401,71.64,28727.64
ST028,FC02,511,67.88,34686.68
ST029,FC02,420,9.12,3830.3999999999996
ST030,FC02,359,56.29,20208.11
ST031,FC02,427,22.06,9419.619999999999
ST032,FC02,427,54.95,23463.65
ST033,FC02,494,55.57,27451.58
ST034,FC02,342,59.8,20451.6
ST035,FC02,392,30.84,12089.28
ST036,FC02,642,37.69,24196.98
ST037,FC02,759,43.48,33001.32
ST038,FC02,528,45.4,23971.2
ST039,FC02,401,35.83,14367.83
ST040,FC02,885,37.9,33541.5
ST041,FC02,380,40.65,15447.0
ST042,FC02,740,121.88,90191.2
ST043,FC02,685,112.07,76767.95
ST044,FC02,494,93.5,46189.0
ST045,FC02,356,133.64,47575.84
ST046,FC02,463,95.13,44045.189999999995
ST050,FC02,420,152.95,64238.99999999999
ST053,FC02,434,98.62,42801.08
ST054,FC02,369,22.11,8158.59
